Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
2019-04-01,92.92,94.0,92.31,92.35,238480343.5,2571020,50.17,2.19,92.71047619047617,91.81146623430354,1.0,0.0,0.46499999999999986,-0.7900000000000063,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-02,92.9,93.25,91.32,91.83,230861938.9,2509880,47.87,1.93,92.70952380952379,91.81517298744284,0.0,0.0,0.46499999999999986,-0.7900000000000063,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-03,92.74,93.0,90.72,91.16,241774409.8,2622960,44.89,2.28,92.71333333333332,91.68413838995427,0.0,1.0,0.46499999999999986,0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-04,91.5,92.99,90.96,92.87,385332856.2,4166240,53.25,2.03,92.81380952380951,91.92131071196341,0.0,0.0,0.46499999999999986,0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-05,93.1,94.0,92.69,93.56,459183938.0,4907720,56.26,1.31,92.93333333333331,92.24904856957073,0.0,0.0,0.46499999999999986,0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-08,93.63,94.15,93.25,93.78,300014795.9,3201110,57.25,0.9,93.0252380952381,92.55523885565658,1.0,0.0,0.030000000000001137,0.5240000000000009,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-09,93.45,93.48,92.04,92.7,285093775.2,3076420,50.9,1.74,92.93714285714285,92.58419108452527,0.0,1.0,0.030000000000001137,0.33000000000000185,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-10,93.2,93.47,92.2,92.49,369374862.6,3987500,49.7,1.27,92.84619047619046,92.56535286762022,0.0,0.0,0.030000000000001137,0.33000000000000185,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-11,92.48,92.48,90.75,91.38,324299608.8,3551360,43.56,1.74,92.6590476190476,92.32828229409617,0.0,0.0,0.030000000000001137,0.33000000000000185,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-12,90.33,91.39,89.2,89.51,538553567.0,5979690,35.3,2.19,92.39999999999999,91.76462583527695,0.0,1.0,0.030000000000001137,-0.9466666666666678,0.0,0.0,0.0,0.0,0.0,0.0
